"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Venomous" "Dorsal_colour" "Dorsal_pattern" "Foraging_mode" "Shape_pupil" "Fangs" "Sex_determinism" "Body_temp"
"Ablepharus budaki" "Ablepharus budaki Göcmen, Kumlutas & Tosunoglu, 1996" "SPECIES" "accepted" "Ablepharus budaki Göcmen, Kumlutas & Tosunoglu, 1996" "Ablepharus" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 0 1 NA NA NA NA NA NA 1 1 NA NA 0 338800 2.01246323662278 48 3.5 "oviparous" NA NA NA "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 3 NA 0.007191441 0.174890505 0.046548081 0.00316716 NA 680.8463791 NA 20.610881 850 NA "No" NA NA NA NA "non-fanged" NA NA
"Ablepharus kitaibelii" "Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833" "SPECIES" "accepted" "Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833" "Ablepharus" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 1367300 4.786300923 58 2.8 "oviparous" NA 0.5 4 "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 4 NA 0.006395102 0.181519264 0.08190856 0.002096698 11.91 660.6308023 7460.9 18.593809 1000 NA "No" NA NA NA NA "non-fanged" NA 27
"Acanthodactylus erythrurus" "Acanthodactylus erythrurus (Schinz, 1833)" "SPECIES" "accepted" "Acanthodactylus erythrurus (Schinz, 1833)" "Acanthodactylus" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 1 0 1 NA NA NA NA NA NA 1 1 NA NA 0 1548800 13.80384265 84 3.7 "oviparous" NA 1.16666666666667 2.1 "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 4 NA 0.005979315 0.208850734 0.044975597 0.01367028 14.54 530.0218894 6008.4 24.776289 1250 NA "No" NA NA "Mixed" NA "non-fanged" "GSD (ZW/ZZ)" 34.8
"Acanthodactylus schreiberi" "Acanthodactylus schreiberi Boulenger, 1878" "SPECIES" "accepted" "Acanthodactylus schreiberi Boulenger, 1878" "Acanthodactylus" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "EN" "ENDANGERED" 1 0 0 0 1 0 0 0 0 0 0 0 0 NA NA NA NA NA NA 1 0 NA NA 0 60500 18.62087137 93 3 "oviparous" NA NA NA "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 1 NA 0.001362525 0.023926348 0 0 18.18 517.6700069 5540.1 26.083887 675 NA "No" NA NA "ACT" NA "non-fanged" "GSD (ZW/ZZ)" 36
"Algyroides fitzingeri" "Algyroides fitzingeri (Wiegmann, 1834)" "SPECIES" "accepted" "Algyroides fitzingeri (Wiegmann, 1834)" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 1 1 1 NA NA NA NA NA NA 1 1 NA NA 0 96800 2.187761624 45 2.5 "oviparous" NA NA NA "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 5 NA 0.002671211 0.055559479 0.041085483 0 14.62 695.4879555 5148.7 23.324023 900 NA "No" NA NA NA NA "non-fanged" NA NA
"Algyroides marchi" "Algyroides marchi Valverde, 1958" "SPECIES" "accepted" "Algyroides marchi Valverde, 1958" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 0 0 1 1 0 0 0 1 1 0 1 NA NA NA NA NA NA 0 0 NA NA 0 36300 3.5 53 NA NA NA NA NA "Diurnal" NA NA NA NA NA NA NA NA 0.5 3 NA 0.001031638 0.252095542 0.002123779 0 13.41434824 504.2973818 6547.232066 40.57867014 1000.830018 NA NA NA NA NA NA NA NA NA
"Algyroides moreoticus" "Algyroides moreoticus Bibron & Bory, 1833" "SPECIES" "accepted" "Algyroides moreoticus Bibron & Bory, 1833" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 0 0 1 0 1 0 0 0 0 0 1 NA NA NA NA NA NA 1 1 NA NA 0 96800 3.01995172 50.3 3.3 "oviparous" NA 1 9.2 "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 3 NA 0.001701489 0.082105927 0.135850352 0 15.49 725.2192214 6341.6 21.283643 550 NA "No" NA NA NA NA "non-fanged" "GSD (ZW/ZZ)" 28.6
"Algyroides nigropunctatus" "Algyroides nigropunctatus (Duméril & Bibron, 1839)" "SPECIES" "accepted" "Algyroides nigropunctatus (Duméril & Bibron, 1839)" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 1 0 1 NA NA NA NA NA NA 1 1 NA NA 0 326700 7.943282347 70 3.5 "oviparous" NA NA 2.3 "Diurnal" "Carnivorous" 1 0 NA 1 0 0 1 0.75 4 NA 0.003727453 0.090395256 0.074111981 0 12.13 1152.500185 6733.8 20.21403 800 NA "No" NA NA NA NA "non-fanged" "GSD (ZW/ZZ)" 32.3
"Alsophylax pipiens" "Alsophylax pipiens (Pallas, 1827)" "SPECIES" "accepted" "Alsophylax pipiens (Pallas, 1827)" "Alsophylax" "Gekkonidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA NA "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 0 NA NA NA NA NA NA 0 1 NA NA 0 4126100 1.698243652 41.6 1.5 "oviparous" NA 1 3.5 "Nocturnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 3 NA 0.000367265 0.018905265 0.003310175 0.373015914 NA 169.1941742 NA 25.392351 850 NA "No" NA NA NA NA "non-fanged" NA 25.2
"Amphisbaena cinereus" "Amphisbaena cinerea Vandelli, 1797" "SPECIES" "synonym" "Blanus cinereus Vandelli, 1797" "Blanus" "Blanidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 217800 16.4 253 2 "oviparous" NA NA 16 "Cathemeral" "Omnivorous" 1 NA NA NA NA NA NA 0 4 NA 0.006200777 0.211477033 0.106010883 0 16.76256852 634.0992789 5509.702162 59.76550346 280.2681779 NA "No" NA NA NA NA "non-fanged" NA 22.8
